Id,Word,Value
1,abandon,0000 0000 0001
2,ability,0000 0000 0010
3,able,0000 0000 0011
4,about,0000 0000 0100
5,above,0000 0000 0101
6,absent,0000 0000 0110
7,absorb,0000 0000 0111
8,abstract,0000 0000 1000
9,absurd,0000 0000 1001
10,abuse,0000 0000 1010
11,access,0000 0000 1011
12,accident,0000 0000 1100
13,account,0000 0000 1101
14,accuse,0000 0000 1110
15,achieve,0000 0000 1111
16,acid,0000 0001 0000
17,acoustic,0000 0001 0001
18,acquire,0000 0001 0010
19,across,0000 0001 0011
20,act,0000 0001 0100
21,action,0000 0001 0101
22,actor,0000 0001 0110
23,actress,0000 0001 0111
24,actual,0000 0001 1000
25,adapt,0000 0001 1001
26,add,0000 0001 1010
27,addict,0000 0001 1011
28,address,0000 0001 1100
29,adjust,0000 0001 1101
30,admit,0000 0001 1110
31,adult,0000 0001 1111
32,advance,0000 0010 0000
33,advice,0000 0010 0001
34,aerobic,0000 0010 0010
35,affair,0000 0010 0011
36,afford,0000 0010 0100
37,afraid,0000 0010 0101
38,again,0000 0010 0110
39,age,0000 0010 0111
40,agent,0000 0010 1000
41,agree,0000 0010 1001
42,ahead,0000 0010 1010
43,aim,0000 0010 1011
44,air,0000 0010 1100
45,airport,0000 0010 1101
46,aisle,0000 0010 1110
47,alarm,0000 0010 1111
48,album,0000 0011 0000
49,alcohol,0000 0011 0001
50,alert,0000 0011 0010
51,alien,0000 0011 0011
52,all,0000 0011 0100
53,alley,0000 0011 0101
54,allow,0000 0011 0110
55,almost,0000 0011 0111
56,alone,0000 0011 1000
57,alpha,0000 0011 1001
58,already,0000 0011 1010
59,also,0000 0011 1011
60,alter,0000 0011 1100
61,always,0000 0011 1101
62,amateur,0000 0011 1110
63,amazing,0000 0011 1111
64,among,0000 0100 0000
65,amount,0000 0100 0001
66,amused,0000 0100 0010
67,analyst,0000 0100 0011
68,anchor,0000 0100 0100
69,ancient,0000 0100 0101
70,anger,0000 0100 0110
71,angle,0000 0100 0111
72,angry,0000 0100 1000
73,animal,0000 0100 1001
74,ankle,0000 0100 1010
75,announce,0000 0100 1011
76,annual,0000 0100 1100
77,another,0000 0100 1101
78,answer,0000 0100 1110
79,antenna,0000 0100 1111
80,antique,0000 0101 0000
81,anxiety,0000 0101 0001
82,any,0000 0101 0010
83,apart,0000 0101 0011
84,apology,0000 0101 0100
85,appear,0000 0101 0101
86,apple,0000 0101 0110
87,approve,0000 0101 0111
88,april,0000 0101 1000
89,arch,0000 0101 1001
90,arctic,0000 0101 1010
91,area,0000 0101 1011
92,arena,0000 0101 1100
93,argue,0000 0101 1101
94,arm,0000 0101 1110
95,armed,0000 0101 1111
96,armor,0000 0110 0000
97,army,0000 0110 0001
98,around,0000 0110 0010
99,arrange,0000 0110 0011
100,arrest,0000 0110 0100
101,arrive,0000 0110 0101
